"","fixed acidity","volatile acidity","citric acid","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality","sweet"
"1021",8.6,0.2,0.42,0.041,35,125,0.9925,3.11,0.49,11.4,7,0
"1022",8.6,0.2,0.42,0.041,35,125,0.9925,3.11,0.49,11.4,7,0
"1023",6.8,0.19,0.32,0.019,54,188,0.9935,3.25,0.37,11.1,8,0
"1024",7.6,0.19,0.38,0.06,48,174,0.9962,3.13,0.38,10.5,6,0
"1025",6.8,0.34,0.74,0.088,23,185,0.9928,3.51,0.7,12,6,0
"1026",6.2,0.15,0.46,0.039,38,123,0.993,3.38,0.51,9.7,6,0
"1027",6.6,0.14,0.44,0.042,47,140,0.993,3.32,0.51,10.2,6,0
"1028",8,0.55,0.17,0.04,13,60,0.9956,3.09,0.3,9.5,4,0
"1029",7,0.24,0.35,0.052,51,128,0.9941,3.41,0.59,10.4,7,0
"1030",6.3,0.6,0.44,0.05,50,245,0.9972,3.19,0.57,9.3,4,0
"1031",7.1,0.2,0.41,0.054,24,166,0.9948,3.48,0.62,10.5,6,0
"1032",6.2,0.34,0.29,0.047,45,232,0.9955,3.35,0.62,10,6,0
"1033",7.1,0.3,0.36,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,0
"1034",7.1,0.3,0.36,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,0
"1035",7.9,0.64,0.46,0.244,33,227,0.9983,2.87,0.74,9.1,3,0
"1036",8.8,0.17,0.38,0.04,39,148,0.9942,3.16,0.67,10.2,6,0
"1037",7.5,0.17,0.37,0.06,18,75,0.9936,3.54,0.88,10.7,5,0
"1038",7.1,0.47,0.24,0.044,11,77,0.9956,3.21,0.56,9.7,5,0
"1039",7.1,0.15,0.34,0.034,33,104,0.9953,3.37,0.52,9.3,7,0
"1040",7.5,0.17,0.34,0.035,13,102,0.9918,3.05,0.74,11,5,0
"1041",8.2,0.68,0.3,0.047,17,138,0.995,3.22,0.71,10.8,4,0
"1042",7.7,0.275,0.3,0.039,19,75,0.992,3.01,0.56,10.7,5,0
"1043",7.3,0.49,0.32,0.043,18,104,0.9952,3.24,0.45,10.7,4,0
"1044",7.5,0.33,0.48,0.048,55,243,1.001,2.95,0.4,8.8,5,1
"1045",7.2,0.21,0.37,0.049,23,94,0.9924,3.16,0.48,10.9,7,0
"1046",7.3,0.15,0.4,0.05,24,92,0.9932,3.14,0.45,10.5,5,0
"1047",6.5,0.19,0.1,0.046,23,107,0.9937,3.29,0.45,10,5,0
"1048",7,0.31,0.52,0.029,5,61,0.9918,3.07,0.43,10.4,5,0
"1049",8.3,0.4,0.38,0.038,15,75,0.9934,3.03,0.43,9.2,5,0
"1050",6.1,0.37,0.36,0.035,36,116,0.991,3.31,0.62,12.6,6,0
"1051",7.3,0.24,0.34,0.048,29,152,0.9962,3.1,0.54,9,5,0
"1052",6.9,0.21,0.81,0.137,52,123,0.9932,3.03,0.39,9.2,6,0
"1053",7.6,0.29,0.42,0.035,18,86,0.9908,2.99,0.39,11.3,5,0
"1054",9.4,0.29,0.55,0.05,17,119,0.9962,3.12,0.69,10.3,4,0
"1055",7,0.31,0.52,0.029,5,61,0.9918,3.07,0.43,10.4,5,0
"1056",8.6,0.26,0.41,0.049,29,111,0.9941,2.96,0.44,10,5,0
"1057",7.5,0.21,0.34,0.06,26,111,0.9931,3.51,0.47,10.7,6,0
"1058",7.2,0.51,0.24,0.093,35,197,0.9981,3.41,0.47,9,5,0
"1059",7.5,0.21,0.34,0.06,26,111,0.9931,3.51,0.47,10.7,6,0
"1060",5.3,0.3,0.2,0.077,48,166,0.9944,3.3,0.54,8.7,4,0
"1061",8,0.26,0.36,0.054,30,121,0.992,3.09,0.72,11.6,7,0
"1062",7,0.21,0.28,0.07,45,185,0.9966,3.34,0.55,9.4,5,0
"1063",6.7,0.26,0.26,0.079,35.5,216,0.9956,3.31,0.68,9.5,5,0
"1064",6.7,0.26,0.26,0.073,36,202,0.9956,3.3,0.67,9.5,5,0
"1065",8.1,0.26,0.37,0.072,48,159,0.9949,3.37,0.7,10.9,6,0
"1066",8.3,0.22,0.38,0.054,32,126,1.0002,3.22,0.5,9.7,5,1
"1067",6.4,0.3,0.51,0.048,62,172,0.9942,3.08,0.45,9.1,6,0
"1068",7.5,0.19,0.34,0.037,33,125,0.9923,3.1,0.49,11.1,7,0
"1069",8.8,0.33,0.44,0.024,9,87,0.9917,2.96,0.4,12.6,7,0
"1070",6.9,0.2,0.36,0.031,38,147,0.9931,3.35,0.56,11,6,0
"1071",8,0.37,0.32,0.04,32,166,0.992,3,0.55,11.3,7,0
"1072",8.3,0.22,0.38,0.054,32,126,1.0002,3.22,0.5,9.7,5,1
"1073",8.2,0.29,0.33,0.036,28,118,0.9953,2.96,0.4,10.9,7,0
"1074",7.7,0.34,0.3,0.048,25,192,0.9951,2.97,0.47,10.9,5,0
"1075",6.2,0.55,0.45,0.049,27,186,0.9974,3.17,0.5,9.3,6,0
"1076",6.4,0.4,0.19,0.033,28,124,0.9904,3.22,0.54,12.7,7,0
"1077",7.5,0.28,0.33,0.048,42,180,0.9974,3.37,0.59,10.1,6,0
"1078",7.8,0.26,0.44,0.037,43,132,0.9944,3.18,0.65,10,5,0
"1079",6.5,0.26,0.34,0.051,56,197,1.0004,3.49,0.42,9.8,5,1
"1080",6.3,0.34,0.29,0.046,29,227,0.9952,3.29,0.53,10.1,6,0
"1081",6.8,0.15,0.33,0.059,31,118,0.9956,3.43,0.39,9,7,0
"1082",6.3,0.27,0.25,0.038,52,155,0.995,3.28,0.38,9.4,6,0
"1083",6.3,0.27,0.25,0.038,52,155,0.995,3.28,0.38,9.4,6,0
"1084",7.4,0.2,0.37,0.048,43,190,0.9995,3.03,0.42,9.2,6,1
"1085",6.3,0.23,0.21,0.035,29,142,0.9942,3.36,0.33,10.1,7,0
"1086",7.3,0.31,0.69,0.041,58,160,0.9977,3.06,0.45,8.6,5,0
"1087",5.2,0.24,0.45,0.027,21,128,0.992,3.55,0.49,11.2,8,0
"1088",7,0.24,0.32,0.037,39,123,0.992,3.17,0.42,11.2,8,0
"1089",7.4,0.2,0.37,0.048,43,190,0.9995,3.03,0.42,9.2,6,1
"1090",7,0.17,0.33,0.034,17,127,0.9934,3.19,0.39,10.6,7,0
"1091",8.3,0.21,0.58,0.049,62,213,1.0006,3.01,0.51,9.3,6,1
"1092",7.2,0.21,0.35,0.048,35,178,0.9982,3.05,0.47,8.9,6,1
"1093",7.1,0.21,0.4,0.069,24,156,0.9928,3.42,0.43,10.6,6,0
"1094",8.4,0.17,0.31,0.038,29,132,0.9945,3.1,0.32,10.6,7,0
"1095",7.4,0.24,0.31,0.045,52,183,0.9963,3.09,0.32,8.8,5,0
"1096",5.3,0.24,0.33,0.033,25,97,0.9906,3.59,0.38,11,8,0
"1097",6.5,0.28,0.26,0.04,44,139,0.9956,3.32,0.37,10.2,6,0
"1098",6.3,0.23,0.21,0.035,29,142,0.9942,3.36,0.33,10.1,7,0
"1099",6.5,0.29,0.25,0.039,32,120,0.9962,3.31,0.34,10.1,6,0
"1100",5.8,0.29,0.21,0.025,12,120,0.9894,3.39,0.79,14,7,0
"1101",6.3,0.27,0.25,0.038,52,155,0.995,3.28,0.38,9.4,6,0
"1102",6.3,0.17,0.42,0.028,45,107,0.9908,3.27,0.43,11.8,6,0
"1103",6.3,0.16,0.4,0.033,59,148,0.9914,3.44,0.53,11.4,5,0
"1104",7.9,0.29,0.39,0.036,6,117,0.9938,3.12,0.42,10.7,5,0
"1105",7.3,0.31,0.69,0.041,58,160,0.9977,3.06,0.45,8.6,5,0
"1106",5.5,0.32,0.45,0.028,25,191,0.9922,3.51,0.49,11.5,7,0
"1107",5.2,0.24,0.45,0.027,21,128,0.992,3.55,0.49,11.2,8,0
"1108",7.2,0.37,0.15,0.029,27,87,0.9903,3.3,0.59,12.6,7,0
"1109",6.1,0.29,0.27,0.024,13,76,0.9893,3.21,0.51,12.6,7,0
"1110",9.2,0.22,0.4,0.054,18,151,0.9952,3.04,0.46,9.3,4,0
"1111",7.2,0.37,0.15,0.029,27,87,0.9903,3.3,0.59,12.6,7,0
"1112",8,0.18,0.37,0.04,15,96,0.9912,3.06,0.61,12.1,6,0
"1113",6.5,0.22,0.34,0.053,55,177,0.9983,3.52,0.44,9.9,6,0
"1114",7.4,0.18,0.4,0.047,22,102,0.9937,3.28,0.44,10.7,5,0
"1115",6.5,0.52,0.17,0.047,5,26,0.9932,3.26,0.32,10,4,0
"1116",7,0.15,0.38,0.047,33,96,0.9928,3.13,0.39,10.4,8,0
"1117",5.9,0.415,0.13,0.04,11,64,0.9922,3.29,0.52,10.5,5,0
"1118",8.1,0.45,0.34,0.037,33,216,0.9976,3.31,0.64,9.7,5,0
"1119",5.8,0.415,0.13,0.04,11,64,0.9922,3.29,0.52,10.5,5,0
"1120",6.4,0.5,0.16,0.042,26,138,0.9974,3.28,0.33,9,5,1
"1121",6.7,0.105,0.32,0.051,34,106,0.998,3.54,0.45,9.2,6,1
"1122",6,0.4,0.3,0.047,30,117,0.9931,3.17,0.48,10.1,6,0
"1123",6.6,0.25,0.39,0.04,40,89,0.9911,3.35,0.4,11.4,7,0
"1124",9.8,0.36,0.45,0.042,11,124,0.9944,2.93,0.46,10.8,5,0
"1125",9.6,0.23,0.4,0.044,19,135,0.9937,2.96,0.49,10.9,5,0
"1126",6.3,0.55,0.45,0.047,33,182,0.9974,3.2,0.46,9.2,6,1
"1127",6.5,0.115,0.29,0.038,73,166,0.989,3.12,0.25,12.9,7,0
"1128",6.4,0.125,0.29,0.042,24,99,0.992,3.23,0.32,12,7,0
"1129",5.7,0.1,0.27,0.047,21,100,0.9928,3.27,0.46,9.5,5,0
"1130",7.9,0.25,0.29,0.031,33,117,0.9918,3.06,0.32,11.8,7,0
"1131",6.9,0.2,0.28,0.048,36,159,0.9936,3.19,0.43,9.1,6,0
"1132",6.9,0.23,0.34,0.047,24,128,0.9944,3.2,0.52,9.7,6,0
"1133",6.8,0.39,0.31,0.043,28,162,0.9988,3.17,0.54,9.1,5,1
"1134",8.7,0.22,0.42,0.053,27,114,0.994,2.99,0.43,10,5,0
"1135",7.4,0.41,0.34,0.042,19,127,0.9953,3.25,0.42,10.4,5,0
"1136",6.7,0.25,0.34,0.048,30,161,0.9986,3.44,0.47,9.5,6,1
"1137",6,0.26,0.42,0.027,70,178,0.9914,3.4,0.4,12.3,8,0
"1138",6.1,0.31,0.37,0.031,70,170,0.9934,3.42,0.4,11.7,8,0
"1139",9.2,0.28,0.46,0.058,39,133,0.996,3.14,0.58,9.5,5,0
"1140",9,0.31,0.49,0.034,26,91,0.9937,2.99,0.34,11.5,5,0
"1141",8.5,0.16,0.33,0.076,17,57,0.9921,3.14,0.46,10.6,6,0
"1142",9.3,0.34,0.49,0.052,30,146,0.998,3.17,0.61,10.2,5,0
"1143",9.2,0.28,0.46,0.058,39,133,0.996,3.14,0.58,9.5,5,0
"1144",7.2,0.24,0.3,0.048,27,131,0.9933,3.25,0.45,10.5,5,0
"1145",7.2,0.25,0.32,0.047,27,132,0.9933,3.26,0.44,10.5,5,0
"1146",6.8,0.32,0.18,0.041,71,223,0.9959,3.14,0.41,8.9,5,0
"1147",9.1,0.27,0.32,0.031,15,151,0.9936,3.03,0.41,10.6,5,0
"1148",8.9,0.34,0.32,0.041,12,188,0.9953,3.17,0.49,9.5,5,0
"1149",7,0.17,0.37,0.025,29,111,0.9938,3.2,0.49,10.8,6,0
"1150",6.7,0.25,0.23,0.038,61,220,0.9952,3.14,0.35,9.5,5,0
"1151",6.9,0.32,0.17,0.042,69,219,0.9959,3.13,0.4,8.9,5,0
"1152",6.8,0.32,0.18,0.041,71,223,0.9959,3.14,0.41,8.9,5,0
"1153",6.1,0.6,0,0.042,24,79,0.9937,3.31,0.38,9.4,4,0
"1154",5.3,0.395,0.07,0.035,26,102,0.992,3.5,0.35,10.6,6,0
"1155",7.9,0.16,0.3,0.037,37,171,0.9967,3.47,0.44,9,4,0
"1156",7.6,0.33,0.36,0.034,26,172,0.9944,3.42,0.48,10.5,4,0
"1157",7.8,0.3,0.29,0.054,23,135,0.9998,3.16,0.38,9,6,1
"1158",7.8,0.3,0.29,0.054,23,135,0.9998,3.16,0.38,9,6,1
"1159",5.7,0.26,0.27,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6,0
"1160",7.8,0.3,0.29,0.054,23,135,0.9998,3.16,0.38,9,6,1
"1161",7.5,0.14,0.34,0.055,50,153,0.9945,3.29,0.8,9.6,6,0
"1162",7.8,0.3,0.29,0.054,23,135,0.9998,3.16,0.38,9,6,1
"1163",6.6,0.25,0.41,0.043,29,151,0.9946,3.15,0.6,10.2,7,0
"1164",5.7,0.26,0.27,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6,0
"1165",8.2,0.23,0.49,0.057,15,73,0.9928,3.07,0.38,10.4,6,0
"1166",6,0.24,0.32,0.03,34,129,0.9946,3.52,0.41,10.4,5,0
"1167",6.1,0.45,0.27,0.039,13,82,0.9927,3.23,0.32,9.5,5,0
"1168",7.4,0.23,0.43,0.044,22,113,0.9938,3.22,0.62,10.6,6,0
"1169",7.2,0.2,0.38,0.037,21,74,0.9918,3.21,0.37,11,5,0
"1170",7.5,0.14,0.34,0.055,50,153,0.9945,3.29,0.8,9.6,6,0
"1171",7.7,0.25,0.43,0.062,20,115,0.9966,3.38,0.5,9.9,6,0
"1172",8.2,0.61,0.45,0.03,15,118,0.9954,3.14,0.34,9.6,5,0
"1173",7.6,0.21,0.44,0.036,10,119,0.9913,3.01,0.7,12.8,6,0
"1174",7.4,0.22,0.33,0.045,31,101,0.9931,3.42,0.55,11.4,5,0
"1175",7.2,0.26,0.26,0.036,49,214,0.9986,3.41,0.5,10,6,1
"1176",6.4,0.25,0.41,0.042,57,173,0.9965,3,0.44,9.1,5,0
"1177",6.3,0.32,0.35,0.039,29,198,0.9984,3.36,0.5,9.4,7,0
"1178",6.8,0.25,0.29,0.042,19,189,0.9952,3.46,0.54,10.2,6,0
"1179",9.8,0.44,0.4,0.036,35,167,0.9956,2.97,0.39,9.2,5,0
"1180",7.2,0.2,0.25,0.044,31,109,0.9949,3.23,0.36,9.4,5,0
"1181",8.2,0.61,0.45,0.03,15,118,0.9954,3.14,0.34,9.6,5,0
"1182",7.5,0.42,0.45,0.029,20,125,0.996,3.12,0.36,10.1,6,0
"1183",7.4,0.22,0.33,0.045,31,101,0.9931,3.42,0.55,11.4,5,0
"1184",6.4,0.26,0.3,0.025,33,134,0.992,3.21,0.47,10.6,6,0
"1185",7.9,0.46,0.32,0.033,40,138,0.9912,3.18,0.44,12.8,7,0
"1186",6.5,0.41,0.64,0.065,65,225,0.9978,3.12,0.51,8.9,5,0
"1187",7.5,0.32,0.37,0.048,22,184,0.9938,3.09,0.43,9.3,5,0
"1188",6.6,0.21,0.38,0.026,40,104,0.9914,3.25,0.4,11.1,8,0
"1189",7.1,0.21,0.3,0.037,45,143,0.9932,3.13,0.33,9.9,6,0
"1190",7.6,0.26,0.47,0.068,5,55,0.9944,3.1,0.45,9.6,5,0
"1191",7.6,0.21,0.44,0.036,10,119,0.9913,3.01,0.7,12.8,6,0
"1192",6.9,0.25,0.26,0.024,36,135,0.9948,3.16,0.72,10.7,7,0
"1193",7.1,0.26,0.32,0.074,29,107,0.998,2.96,0.42,9.2,6,1
"1194",7.3,0.22,0.4,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7,1
"1195",6.2,0.37,0.22,0.025,36,216,0.9964,3.33,0.6,9.6,6,0
"1196",7.9,0.22,0.45,0.038,53,141,0.9992,3.03,0.46,9.2,6,1
"1197",6.9,0.25,0.26,0.024,36,135,0.9948,3.16,0.72,10.7,7,0
"1198",7.3,0.22,0.4,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7,1
"1199",7.1,0.26,0.32,0.074,29,107,0.998,2.96,0.42,9.2,6,1
"1200",7.4,0.25,0.37,0.02,14,93,0.9939,3,0.48,10.7,7,0
"1201",6.8,0.18,0.37,0.027,37,93,0.992,3.3,0.45,10.8,6,0
"1202",7,0.17,0.37,0.028,26,75,0.9922,3.3,0.46,10.8,7,0
"1203",6.4,0.3,0.38,0.046,35,192,0.9955,3.1,0.37,9,5,0
"1204",5,0.33,0.16,0.049,10,97,0.9917,3.48,0.44,10.7,6,0
"1205",5,0.33,0.16,0.049,10,97,0.9917,3.48,0.44,10.7,6,0
"1206",8.9,0.33,0.32,0.047,11,200,0.9954,3.19,0.46,9.4,5,0
"1207",7,0.26,0.46,0.037,61,171,0.9986,2.94,0.35,8.8,6,1
"1208",6.4,0.3,0.38,0.046,35,192,0.9955,3.1,0.37,9,5,0
"1209",6.3,0.21,0.4,0.031,48,134,0.9917,3.42,0.49,11.5,6,0
"1210",8,0.23,0.46,0.03,30,125,0.9907,3.23,0.47,12.5,6,0
"1211",9.2,0.28,0.41,0.042,14,59,0.9922,2.96,0.25,10.5,6,0
"1212",7.3,0.27,0.39,0.064,28,188,0.9958,3.29,0.3,9.7,5,0
"1213",7.6,0.32,0.36,0.04,32,155,0.993,3.23,0.52,11.3,6,0
"1214",5,0.33,0.16,0.049,10,97,0.9917,3.48,0.44,10.7,6,0
"1215",9.7,0.24,0.45,0.033,11,59,0.9926,2.74,0.47,10.8,6,0
"1216",8,0.28,0.42,0.045,41,169,0.9959,3.17,0.43,10.6,5,0
"1217",8.2,0.37,0.36,0.034,17,93,0.9906,3.04,0.32,11.7,8,0
"1218",8,0.61,0.38,0.301,24,220,0.9993,2.94,0.48,9.2,5,1
"1219",7.2,0.26,0.44,0.027,25,126,0.993,3.02,0.34,11.1,8,0
"1220",8.2,0.37,0.36,0.034,17,93,0.9906,3.04,0.32,11.7,8,0
"1221",6.4,0.23,0.33,0.044,15.5,217.5,0.992,3.33,0.44,11,6,0
"1222",5.9,0.4,0.32,0.034,50,127,0.992,3.51,0.58,12.5,7,0
"1223",7.6,0.28,0.39,0.038,21,115,0.994,3.16,0.67,10,6,0
"1224",8,0.28,0.42,0.045,41,169,0.9959,3.17,0.43,10.6,5,0
"1225",7.2,0.23,0.39,0.033,29,102,0.9908,3.26,0.54,12.3,7,0
"1226",6.8,0.32,0.37,0.023,19,87,0.9902,3.14,0.53,12.7,6,0
"1227",7.2,0.23,0.39,0.033,29,102,0.9908,3.26,0.54,12.3,7,0
"1228",6.9,0.18,0.38,0.039,20,110,0.9943,3.1,0.42,10.5,5,0
"1229",9.4,0.26,0.53,0.047,25,109,0.9921,3.23,0.28,12.5,6,0
"1230",8.3,0.33,0.42,0.033,18,96,0.9911,3.2,0.32,12.4,3,0
"1231",7.3,0.29,0.3,0.043,46,238,0.9986,3.06,0.41,8.7,6,1
"1232",7.9,0.41,0.37,0.03,40,114,0.992,3.17,0.54,12.4,7,0
"1233",7.9,0.44,0.37,0.033,27,93,0.992,3.16,0.54,12.6,7,0
"1234",7.7,0.39,0.3,0.037,29,131,0.9943,3.38,0.44,11,6,0
"1235",7.7,0.26,0.31,0.043,47,155,0.9937,3.42,0.5,10.1,6,0
"1236",7.8,0.32,0.31,0.036,46,195,0.993,3.03,0.48,10.5,5,0
"1237",6.8,0.32,0.37,0.023,19,87,0.9902,3.14,0.53,12.7,6,0
"1238",7.3,0.24,0.39,0.024,35,116,0.9928,3.17,0.51,10.9,5,0
"1239",7.1,0.44,0.37,0.041,35,128,0.9896,3.07,0.43,13.5,7,0
"1240",10.3,0.25,0.48,0.042,28,164,0.998,3.19,0.59,9.7,5,0
"1241",7.9,0.14,0.28,0.041,44,178,0.9954,3.45,0.43,9.2,6,0
"1242",7.4,0.18,0.42,0.036,33,187,0.9938,3.4,0.41,10.6,7,0
"1243",8.1,0.43,0.42,0.033,36,141,0.9918,2.98,0.39,13.3,7,0
"1244",7.1,0.44,0.37,0.041,35,128,0.9896,3.07,0.43,13.5,7,0
"1245",6.4,0.26,0.22,0.037,23,131,0.9944,3.29,0.32,10.1,5,0
"1246",8,0.66,0.72,0.042,62,233,0.9999,2.92,0.68,9.4,4,1
"1247",8,0.2,0.4,0.055,41,167,0.9953,3.18,0.4,10.6,7,0
"1248",7.2,0.21,0.34,0.046,25,80,0.992,3.25,0.4,11.3,6,0
"1249",7.2,0.18,0.31,0.045,20,73,0.9925,3.32,0.4,10.8,7,0
"1250",8.4,0.57,0.44,0.051,46,195,0.9981,3.15,0.51,10.4,5,0
"1251",5.3,0.26,0.23,0.034,48,160,0.9952,3.82,0.51,10.5,7,0
"1252",5.7,0.245,0.33,0.049,28,150,0.9927,3.13,0.42,9.3,5,0
"1253",5.6,0.245,0.32,0.047,24,152,0.9927,3.12,0.42,9.3,6,0
"1254",7.3,0.25,0.41,0.037,52,165,0.9911,3.29,0.39,12.2,7,0
"1255",7,0.16,0.73,0.138,58,150,0.9936,3.08,0.3,9.2,5,0
"1256",6.4,0.22,0.34,0.057,29,104,0.9959,3.81,0.57,10.3,6,0
"1257",7.3,0.18,0.65,0.046,28,157,0.9946,3.33,0.62,9.4,6,0
"1258",6.4,0.17,0.27,0.036,88,223,0.9948,3.28,0.35,10.2,6,0
"1259",6.9,0.29,0.16,0.034,65,212,0.9955,3.08,0.39,9,6,0
"1260",6.2,0.21,0.38,0.036,64,245,0.9951,3.06,0.36,9.3,6,0
"1261",6.4,0.23,0.3,0.037,63,236,0.9952,3.06,0.34,9.2,6,0
"1262",7.3,0.19,0.68,0.05,31,156,0.9946,3.32,0.64,9.4,6,0
"1263",7.3,0.18,0.65,0.046,28,157,0.9946,3.33,0.62,9.4,6,0
"1264",9.6,0.29,0.46,0.039,77.5,223,0.9944,2.92,0.46,9.5,6,0
"1265",7.2,0.14,0.35,0.036,15,73,0.9938,3.46,0.39,9.9,5,0
"1266",6.9,0.31,0.34,0.059,36,174,0.9963,3.46,0.62,11.1,7,0
"1267",7.5,0.28,0.34,0.028,36,116,0.991,2.99,0.41,12.3,8,0
"1268",8,0.22,0.42,0.044,45,163,1.0003,3.21,0.69,8.6,7,1
"1269",7.6,0.31,0.29,0.04,21,145,0.9966,3.04,0.35,9.4,5,0
"1270",8.4,0.35,0.56,0.048,55,190,0.9993,3.07,0.58,9.4,6,1
"1271",8,0.22,0.42,0.044,45,163,1.0003,3.21,0.69,8.6,7,1
"1272",8.1,0.5,0.47,0.037,23,126,0.9938,3.21,0.42,10.9,5,0
"1273",7,0.39,0.31,0.169,32,162,0.9965,3.2,0.48,9.4,5,0
"1274",8.1,0.5,0.47,0.037,23,126,0.9938,3.21,0.42,10.9,5,0
"1275",8.4,0.35,0.56,0.048,55,190,0.9993,3.07,0.58,9.4,6,1
"1276",6.2,0.22,0.27,0.064,20,132,0.9938,3.22,0.46,9.2,6,0
"1277",8,0.22,0.42,0.044,45,163,1.0003,3.21,0.69,8.6,7,1
"1278",7.6,0.31,0.29,0.04,21,145,0.9966,3.04,0.35,9.4,5,0
"1279",7,0.24,0.36,0.083,10,133,0.9942,3.33,0.37,10.8,6,0
"1280",6.6,0.27,0.3,0.025,14,153,0.9928,3.29,0.62,10.5,6,0
"1281",7.8,0.16,0.41,0.026,29,140,0.991,3.02,0.78,12.5,6,0
"1282",7.7,0.27,0.34,0.028,26,168,0.9911,2.99,0.48,12.1,7,0
"1283",7.4,0.31,0.74,0.039,51,147,0.9977,3.02,0.43,8.7,5,0
"1284",8,0.45,0.36,0.026,50,151,0.9927,3.07,0.25,12.7,8,0
"1285",7.7,0.27,0.34,0.028,26,168,0.9911,2.99,0.48,12.1,7,0
"1286",7.8,0.16,0.41,0.026,29,140,0.991,3.02,0.78,12.5,6,0
"1287",6.6,0.16,0.29,0.05,40,147,0.9912,3.06,0.44,11.4,7,0
"1288",8.3,0.21,0.4,0.032,35,110,0.9907,3.02,0.6,12.9,7,0
"1289",7.2,0.32,0.33,0.029,29,109,0.9902,3.15,0.51,12.8,7,0
"1290",6.6,0.16,0.3,0.034,15,78,0.992,3.38,0.44,11.2,6,0
"1291",8.4,0.16,0.33,0.033,16,98,0.994,3.14,0.42,9.7,6,0
"1292",7.5,0.23,0.32,0.038,54,191,0.9966,3.04,0.56,9.7,6,0
"1293",6.2,0.17,0.3,0.037,14,79,0.993,3.5,0.54,10.3,6,0
"1294",6.9,0.39,0.22,0.03,10,102,0.993,3,0.87,11.6,4,0
"1295",6.9,0.41,0.22,0.031,10,102,0.993,3,0.86,11.6,4,0
"1296",7.5,0.23,0.32,0.038,54,191,0.9966,3.04,0.56,9.7,6,0
"1297",7.5,0.38,0.33,0.045,30,131,0.9942,3.32,0.44,10.9,6,0
"1298",7.3,0.42,0.38,0.045,29,122,0.9925,3.19,0.37,12.6,7,0
"1299",7.3,0.34,0.39,0.04,45,163,0.9925,3.3,0.47,12.4,6,0
"1300",7.8,0.23,0.28,0.042,45,166,0.9928,2.96,0.4,11.5,5,0
"1301",9,0.245,0.38,0.045,52,159,0.995,2.93,0.35,10.2,6,0
"1302",6.9,0.2,0.4,0.032,51,176,0.9939,3.22,0.27,11.4,5,0
"1303",7.4,0.19,0.42,0.067,39,212,0.9958,3.3,0.33,9.6,6,0
"1304",8.2,0.2,0.36,0.035,60,163,0.9952,3.05,0.3,10.3,6,0
"1305",8,0.59,0.71,0.038,61,228,1,2.95,0.75,9.3,5,1
"1306",7.9,0.14,0.45,0.05,17,114,0.9948,3.33,0.49,10.7,7,0
"1307",6.8,0.24,0.4,0.047,34,105,0.99,3.13,0.49,12.8,8,0
"1308",9.7,0.14,0.59,0.049,23,142,0.9958,2.98,0.62,9.5,5,0
"1309",9.2,0.15,0.68,0.046,22,130,0.9948,3.02,0.45,10.4,6,0
"1310",9.4,0.17,0.55,0.049,14,94,0.9949,3.02,0.61,10.3,6,0
"1311",5.2,0.365,0.08,0.041,37,142,0.997,3.46,0.39,9.9,6,1
"1312",6.3,0.23,0.22,0.039,37,116,0.9927,3.23,0.5,10.7,6,0
"1313",9.6,0.25,0.54,0.04,16,160,0.9938,2.94,0.43,10.5,5,0
"1314",9.2,0.32,0.42,0.046,14,186,0.9949,3.08,0.48,9.6,5,0
"1315",6.4,0.31,0.4,0.04,46,169,0.9953,3.15,0.46,9.3,6,0
"1316",8.1,0.2,0.36,0.044,63,162,0.997,3.1,0.46,10,6,0
"1317",7.9,0.255,0.26,0.026,40,190,0.9932,3.04,0.39,11.2,6,0
"1318",7,0.15,0.34,0.039,21,177,0.9927,3.32,0.62,10.8,5,0
"1319",6.4,0.15,0.31,0.044,25,96,0.9932,3.54,0.51,10.3,6,0
"1320",6.4,0.25,0.53,0.038,59,234,0.9955,3.03,0.42,8.8,5,0
"1321",7.6,0.19,0.42,0.044,6,114,0.9914,3.04,0.74,12.8,6,0
"1322",7.3,0.43,0.37,0.028,17,114,0.991,3.23,0.43,13.2,6,0
"1323",5.1,0.31,0.3,0.037,28,152,0.992,3.54,0.56,10.1,6,0
"1324",6.2,0.2,0.26,0.093,40,161,0.9924,3.44,0.66,11,5,0
"1325",6.9,0.16,0.35,0.043,21,182,0.9927,3.25,0.62,10.8,6,0
"1326",7.7,0.32,0.48,0.04,28,114,0.9911,3.2,0.52,12.8,7,0
"1327",6.5,0.22,0.72,0.042,33,168,0.9958,3.12,0.36,9.2,6,0
"1328",6.8,0.26,0.33,0.047,44,167,0.9928,3.12,0.44,10.5,6,0
"1329",5.2,0.37,0.33,0.028,13,81,0.9902,3.37,0.38,11.7,6,0
"1330",8.4,0.19,0.43,0.052,20,104,0.994,2.85,0.46,9.5,5,0
"1331",8.3,0.21,0.41,0.05,24,108,0.994,2.85,0.45,9.5,5,0
"1332",6.8,0.15,0.32,0.058,24,110,0.9972,3.4,0.4,8.8,6,0
"1333",7.9,0.16,0.64,0.05,69,210,1.0004,3.15,0.51,9.3,7,1
